"ID_CODE","SIMPLIFIED","TRADITIONAL","PINYIN","TYPE","DESCRIPTION","HSK_LEVEL","MESURE_WORD","SYNONYME","SEE_ALSO"
"1","…分之…","Same","fēnzhī",(数) numeral","used for fractions and percentages, e.g. 四分之一 is 1/4 and 百分之一 is 1%","4","","",""
"2","一","Same","yī","(副) adverb, (数) numeral","one; 1; single; a (article); as soon as; entire; whole; all; throughout; ""one"" radical in Chinese characters (Kangxi radical 1)","1","","",""
"3","一丝不苟","一絲不苟","yī sī bùgǒu","(名) noun","not one thread loose (idiom); strictly according to the rules; meticulous; not one hair out of place","6","","",""
"4","一举两得","一舉兩得","yījǔliǎngdé","(习惯用语) idiomatic expression","one move, two gains (idiom); two birds with one stone","6","","",""
"5","一会儿","一會兒","yīhuìr","(名) noun","a while","3","","",""
"6","一共","Same","yīgòng","(名) noun, (副) adverb","altogether","3","","",""
"7","一再","Same","yīzài","(副) adverb","repeatedly","6","","",""
"8","一切","Same","yīqiè","(名) noun","everything; every; all","4","","",""
"9","一向","Same","yīxiàng","(副) adverb","always (previously); a period of time in the recent past","6","","",""
"10","一如既往","Same","yīrú jì wǎng","(习惯用语) idiomatic expression","just as in the past (idiom); as before; continuing as always","6","","",""
"11","一定","Same","yīdìng","(副) adverb","surely; certainly; necessarily; fixed; a certain (extent etc); given; particular; must","3","","",""
"12","一帆风顺","一帆風順","yī fān fēng shùn","(习惯用语) idiomatic expression","propitious wind throughout the journey (idiom); plain sailing; to go smoothly; have a nice trip!","6","","",""
"13","一度","Same","yīdù","(副) adverb","for a time; at one time; one time; once","6","","",""
"14","一律","Same","yīlǜ","(形) adjective, (副) adverb","same; uniformly; all; without exception","6","","",""
"15","一旦","Same","yīdàn","(连) conjunction","in case (something happens); if; once (something happens, then...); when; in a short time; in one day","5","","",""
"16","一样","一樣","yīyàng","(形) adjective, (副) adverb","same; like; equal to; the same as; just like","3","","",""
"17","一流","Same","yīliú","(名) noun, (形) adjective","top quality; front ranking","6","","",""
"18","一目了然","一目瞭然","yīmùliǎorán","(习惯用语) idiomatic expression","obvious at a glance (idiom)","6","","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E4%B8%80%E7%9B%AE%E4%BA%86%E7%84%B6&amp;cache=1276"" class=""pinyin"">yīm&ugrave;liǎor&aacute;n</a> obvious at a glance (idiom) (<span class=""zh"">一目了然</span>)"
"18","一目了然","","yī mù liǎo rán","(习惯用语) idiomatic expression","obvious at a glance (idiom)","","","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E4%B8%80%E7%9B%AE%E7%9E%AD%E7%84%B6&amp;cache=1278"" class=""pinyin"">yī m&ugrave; liǎo r&aacute;n</a> obvious at a glance (idiom) (<span class=""zh"">一目瞭然</span>)"
"19","一直","Same","yīzhí","(副) adverb","straight (in a straight line); continuously; always; from the beginning of ... up to ...; all along","3","","",""
"20","一致","Same","yīzhì","(形) adjective","unanimous; identical (views or opinions)","5","","",""
"21","一般","Same","yībān","(形) adjective, (副) adverb","same; ordinary; so-so; common; general; generally; in general","3","","",""
"22","一贯","一貫","yīguàn","(副) adverb","consistent; constant; from start to finish; all along; persistent","6","","",""
"23","一起","Same","yīqǐ","(副) adverb","in the same place; together; with; altogether (in total)","2","","",""
"24","一路平安","Same","yī lù píng'ān","(习惯用语) idiomatic expression","to have a pleasant journey; Bon voyage!","5","","",""
"25","一辈子","一輩子","yī bèizi","(时间) time word","(for) a lifetime","5","","一生",""
"26","一边","一邊","yībiān","(副) adverb","one side; either side; on the one hand; on the other hand; doing while","3","","",""
